# question	answer	fact
# Dictionary foundation lessons for fsot_mind brain-learn
what does up mean	spatially	up means spatially or metaphorically from a lower to a higher position. Example: look up!
what does so mean	in	so means in a manner that facilitates. Example: he observed the snakes so he could describe their behavior
what does do mean	carry	do means carry out or perform an action. Example: John did the painting, the weeding, and he cleaned out the gutters
what does go mean	change	go means change location; move, travel, or proceed, also metaphorically. Example: How fast does your new car go?
what does be mean	work	be means work in a specific place, with a specific subject, or in a specific function. Example: He is a herpetologist
what does bad mean	having	bad means having undesirable or negative qualities. Example: a bad report card
what does low mean	less	low means less than normal in degree or intensity or amount. Example: low prices
what does big mean	above	big means above average in size or number or quantity or magnitude or extent. Example: a large city
what does old mean	of	old means of long duration; not new. Example: old tradition
what does own mean	belonging	own means belonging to or on behalf of a specified person (especially yourself); preceded by a possessive. Example: for your own use
what does one mean	used	one means used of a single unit or thing; not two or more. Example: `ane' is Scottish
what does two mean	being	two means being one more than one. Example: he received two messages
what does six mean	denoting	six means denoting a quantity consisting of six items or units.
what does ten mean	being	ten means being one more than nine.
what does not mean	negation	not means negation of a word or group of words. Example: he does not speak French
what does too mean	to	too means to a degree exceeding normal or proper limits. Example: too big
what does now mean	in	now means in these times; - Nancy Mitford. Example: it is solely by their language that the upper classes nowadays are distinguished
what does ago mean	in	ago means in the past. Example: long ago
what does far mean	to	far means to a considerable degree; very much. Example: a far far better thing that I do
what does way mean	how	way means how a result is obtained or an end is achieved. Example: a means of control
what does job mean	the	job means the principal activity in your life that you do to earn money. Example: he's not in my line of business
what does use mean	the	use means the act of using. Example: he warned against the use of narcotic drugs
what does war mean	the	war means the waging of armed conflict against an enemy. Example: thousands of people were killed in the war
what does bed mean	a	bed means a piece of furniture that provides a place to sleep. Example: he sat on the edge of the bed
what does car mean	a	car means a motor vehicle with four wheels; usually propelled by an internal combustion engine. Example: he needs a car to get to work
what does gun mean	a	gun means a weapon that discharges a missile at high velocity (especially from a metal tube or barrel).
what does age mean	how	age means how long something has existed. Example: it was replaced because of its age
what does lip mean	either	lip means either of two fleshy folds of tissue that surround the mouth and play a role in speaking.
what does eye mean	the	eye means the organ of sight.
what does law mean	the	law means the collection of rules imposed by authority. Example: civilization presupposes respect for the law
what does kid mean	a	kid means a young person of either sex. Example: she writes books for children
what does boy mean	a	boy means a youthful male person. Example: the baby was a boy
what does man mean	an	man means an adult person who is male (as opposed to a woman). Example: there were two women and six men on the bus
what does day mean	some	day means some point or period in time. Example: it should arrive any day now
what does get mean	cause	get means cause to move; cause to be in a certain position or condition. Example: He got his squad on the ball
what does die mean	pass	die means pass from physical life and lose all bodily attributes and functions necessary to sustain life. Example: She died from cancer
what does see mean	perceive	see means perceive (an idea or situation) mentally. Example: Now I see!
what does ask mean	make	ask means make a request or demand for something to somebody. Example: She asked him for a loan
what does say mean	express	say means express in words. Example: He said that he wanted to marry her
what does win mean	be	win means be the winner in a contest or competition; be victorious. Example: He won the Gold Medal in skating
what does eat mean	take	eat means take in solid food. Example: She was eating a banana
what does put mean	cause	put means cause to be in a certain state; cause to be in a certain relation. Example: That song put me in awful good humor
what does sit mean	be	sit means be seated.
