# domain	grade	question	answer	source_key
math	preschool	What is the answer to: number 0?	zero	number 0
math	preschool	What is the answer to: count word zero?	0	count word zero
math	preschool	What is the answer to: after zero?	one	after zero
math	preschool	What is the answer to: number 1?	one	number 1
math	preschool	What is the answer to: count word one?	1	count word one
math	preschool	What is the answer to: after one?	two	after one
math	preschool	What is the answer to: before one?	zero	before one
math	preschool	What is the answer to: number 2?	two	number 2
math	preschool	What is the answer to: count word two?	2	count word two
math	preschool	What is the answer to: after two?	three	after two
math	preschool	What is the answer to: before two?	one	before two
math	preschool	What is the answer to: number 3?	three	number 3
math	preschool	What is the answer to: count word three?	3	count word three
math	preschool	What is the answer to: after three?	four	after three
math	preschool	What is the answer to: before three?	two	before three
math	preschool	What is the answer to: number 4?	four	number 4
math	preschool	What is the answer to: count word four?	4	count word four
math	preschool	What is the answer to: after four?	five	after four
math	preschool	What is the answer to: before four?	three	before four
math	preschool	What is the answer to: number 5?	five	number 5
math	preschool	What is the answer to: count word five?	5	count word five
math	preschool	What is the answer to: after five?	six	after five
math	preschool	What is the answer to: before five?	four	before five
math	kindergarten	What is the answer to: number 6?	six	number 6
math	kindergarten	What is the answer to: count word six?	6	count word six
math	kindergarten	What is the answer to: after six?	seven	after six
math	kindergarten	What is the answer to: before six?	five	before six
math	kindergarten	What is the answer to: number 7?	seven	number 7
math	kindergarten	What is the answer to: count word seven?	7	count word seven
math	kindergarten	What is the answer to: after seven?	eight	after seven
math	kindergarten	What is the answer to: before seven?	six	before seven
math	kindergarten	What is the answer to: number 8?	eight	number 8
math	kindergarten	What is the answer to: count word eight?	8	count word eight
math	kindergarten	What is the answer to: after eight?	nine	after eight
math	kindergarten	What is the answer to: before eight?	seven	before eight
math	kindergarten	What is the answer to: number 9?	nine	number 9
math	kindergarten	What is the answer to: count word nine?	9	count word nine
math	kindergarten	What is the answer to: after nine?	ten	after nine
math	kindergarten	What is the answer to: before nine?	eight	before nine
math	kindergarten	What is the answer to: number 10?	ten	number 10
math	kindergarten	What is the answer to: count word ten?	10	count word ten
math	kindergarten	What is the answer to: after ten?	eleven	after ten
math	kindergarten	What is the answer to: before ten?	nine	before ten
math	grade1	What is the answer to: number 11?	eleven	number 11
math	grade1	What is the answer to: count word eleven?	11	count word eleven
math	grade1	What is the answer to: after eleven?	twelve	after eleven
math	grade1	What is the answer to: before eleven?	ten	before eleven
math	grade1	What is the answer to: number 12?	twelve	number 12
math	grade1	What is the answer to: count word twelve?	12	count word twelve
math	grade1	What is the answer to: after twelve?	thirteen	after twelve
math	grade1	What is the answer to: before twelve?	eleven	before twelve
math	grade1	What is the answer to: number 13?	thirteen	number 13
math	grade1	What is the answer to: count word thirteen?	13	count word thirteen
math	grade1	What is the answer to: after thirteen?	fourteen	after thirteen
math	grade1	What is the answer to: before thirteen?	twelve	before thirteen
math	grade1	What is the answer to: number 14?	fourteen	number 14
math	grade1	What is the answer to: count word fourteen?	14	count word fourteen
math	grade1	What is the answer to: after fourteen?	fifteen	after fourteen
math	grade1	What is the answer to: before fourteen?	thirteen	before fourteen
math	grade1	What is the answer to: number 15?	fifteen	number 15
math	grade1	What is the answer to: count word fifteen?	15	count word fifteen
math	grade1	What is the answer to: after fifteen?	sixteen	after fifteen
math	grade1	What is the answer to: before fifteen?	fourteen	before fifteen
math	grade1	What is the answer to: number 16?	sixteen	number 16
math	grade1	What is the answer to: count word sixteen?	16	count word sixteen
math	grade1	What is the answer to: after sixteen?	seventeen	after sixteen
math	grade1	What is the answer to: before sixteen?	fifteen	before sixteen
math	grade1	What is the answer to: number 17?	seventeen	number 17
math	grade1	What is the answer to: count word seventeen?	17	count word seventeen
math	grade1	What is the answer to: after seventeen?	eighteen	after seventeen
math	grade1	What is the answer to: before seventeen?	sixteen	before seventeen
math	grade1	What is the answer to: number 18?	eighteen	number 18
math	grade1	What is the answer to: count word eighteen?	18	count word eighteen
math	grade1	What is the answer to: after eighteen?	nineteen	after eighteen
math	grade1	What is the answer to: before eighteen?	seventeen	before eighteen
math	grade1	What is the answer to: number 19?	nineteen	number 19
math	grade1	What is the answer to: count word nineteen?	19	count word nineteen
math	grade1	What is the answer to: after nineteen?	twenty	after nineteen
math	grade1	What is the answer to: before nineteen?	eighteen	before nineteen
